goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │ linear.txt  │
                                 │   sec/op    │
Get/Btree/Ascending/Order-154-8    88.25n ± 0%
Get/Btree/Ascending/Order-156-8    88.34n ± 0%
Get/Btree/Ascending/Order-158-8    88.91n ± 1%
Get/Btree/Ascending/Order-160-8    89.26n ± 1%
Get/Btree/Ascending/Order-162-8    89.67n ± 1%
Get/Btree/Ascending/Order-164-8    90.36n ± 1%
Get/Btree/Ascending/Order-166-8    90.42n ± 1%
Get/Btree/Ascending/Order-168-8    90.52n ± 1%
Get/Btree/Ascending/Order-170-8    90.81n ± 1%
Get/Btree/Ascending/Order-172-8    91.29n ± 0%
Get/Btree/Ascending/Order-174-8    91.98n ± 1%
Get/Btree/Ascending/Order-176-8    92.64n ± 1%
Get/Btree/Ascending/Order-178-8    92.36n ± 1%
Get/Btree/Ascending/Order-180-8    93.81n ± 0%
Get/Btree/Ascending/Order-182-8    94.66n ± 1%
Get/Btree/Ascending/Order-184-8    93.35n ± 1%
Get/Btree/Ascending/Order-186-8    94.36n ± 0%
Get/Btree/Ascending/Order-188-8    95.64n ± 0%
Get/Btree/Ascending/Order-190-8    94.77n ± 0%
Get/Btree/Ascending/Order-192-8    96.08n ± 1%
Get/Btree/Ascending/Order-194-8    95.75n ± 1%
Get/Btree/Ascending/Order-196-8    97.20n ± 1%
Get/Btree/Ascending/Order-198-8    96.23n ± 1%
Get/Btree/Ascending/Order-200-8    98.09n ± 0%
Get/Btree/Ascending/Order-202-8    97.40n ± 0%
Get/Btree/Ascending/Order-204-8    99.71n ± 0%
Get/Btree/Ascending/Order-206-8    98.89n ± 0%
Get/Btree/Ascending/Order-208-8    101.3n ± 1%
Get/Btree/Ascending/Order-210-8    100.5n ± 0%
Get/Btree/Ascending/Order-212-8    100.2n ± 0%
Get/Btree/Ascending/Order-214-8    102.6n ± 1%
Get/Btree/Ascending/Order-216-8    102.4n ± 1%
Get/Btree/Ascending/Order-218-8    104.9n ± 0%
Get/Btree/Ascending/Order-220-8    104.3n ± 1%
Get/Btree/Ascending/Order-222-8    103.8n ± 0%
Get/Btree/Ascending/Order-224-8    106.9n ± 1%
Get/Btree/Ascending/Order-226-8    106.2n ± 1%
Get/Btree/Ascending/Order-228-8    105.7n ± 1%
Get/Btree/Ascending/Order-230-8    108.9n ± 1%
Get/Btree/Ascending/Order-232-8    108.6n ± 1%
Get/Btree/Ascending/Order-234-8    107.7n ± 0%
Get/Btree/Ascending/Order-236-8    111.5n ± 0%
Get/Btree/Ascending/Order-238-8    110.8n ± 0%
Get/Btree/Ascending/Order-240-8    110.2n ± 1%
Get/Btree/Ascending/Order-242-8    114.4n ± 0%
Get/Btree/Ascending/Order-244-8    113.3n ± 0%
Get/Btree/Ascending/Order-246-8    112.6n ± 0%
Get/Btree/Ascending/Order-248-8    112.6n ± 1%
Get/Btree/Ascending/Order-250-8    116.9n ± 1%
Get/Btree/Ascending/Order-252-8    115.7n ± 0%
Get/Btree/Ascending/Order-254-8    115.3n ± 0%
Get/Btree/Ascending/Order-256-8    115.0n ± 1%
Get/Btree/Descending/Order-2-8     80.00n ± 1%
Get/Btree/Descending/Order-4-8     65.22n ± 3%
Get/Btree/Descending/Order-6-8     56.03n ± 0%
Get/Btree/Descending/Order-8-8     53.33n ± 1%
Get/Btree/Descending/Order-10-8    49.93n ± 0%
Get/Btree/Descending/Order-12-8    50.74n ± 1%
Get/Btree/Descending/Order-14-8    48.48n ± 0%
Get/Btree/Descending/Order-16-8    48.54n ± 0%
Get/Btree/Descending/Order-18-8    48.31n ± 0%
Get/Btree/Descending/Order-20-8    48.89n ± 0%
Get/Btree/Descending/Order-22-8    53.02n ± 0%
Get/Btree/Descending/Order-24-8    55.93n ± 1%
Get/Btree/Descending/Order-26-8    58.95n ± 1%
Get/Btree/Descending/Order-28-8    57.07n ± 0%
Get/Btree/Descending/Order-30-8    55.39n ± 1%
Get/Btree/Descending/Order-32-8    54.47n ± 1%
Get/Btree/Descending/Order-34-8    54.79n ± 1%
Get/Btree/Descending/Order-36-8    56.01n ± 1%
Get/Btree/Descending/Order-38-8    57.93n ± 2%
Get/Btree/Descending/Order-40-8    57.96n ± 1%
Get/Btree/Descending/Order-42-8    58.73n ± 1%
Get/Btree/Descending/Order-44-8    60.97n ± 1%
Get/Btree/Descending/Order-46-8    61.15n ± 1%
Get/Btree/Descending/Order-48-8    62.41n ± 1%
Get/Btree/Descending/Order-50-8    63.23n ± 0%
Get/Btree/Descending/Order-52-8    65.42n ± 1%
Get/Btree/Descending/Order-54-8    64.53n ± 1%
Get/Btree/Descending/Order-56-8    66.45n ± 1%
Get/Btree/Descending/Order-58-8    70.22n ± 0%
Get/Btree/Descending/Order-60-8    69.57n ± 1%
Get/Btree/Descending/Order-62-8    74.64n ± 0%
Get/Btree/Descending/Order-64-8    73.50n ± 1%
Get/Btree/Descending/Order-66-8    72.56n ± 0%
Get/Btree/Descending/Order-68-8    72.18n ± 0%
Get/Btree/Descending/Order-70-8    80.32n ± 0%
Get/Btree/Descending/Order-72-8    78.94n ± 1%
Get/Btree/Descending/Order-74-8    78.20n ± 2%
Get/Btree/Descending/Order-76-8    78.17n ± 1%
Get/Btree/Descending/Order-78-8    77.68n ± 1%
Get/Btree/Descending/Order-80-8    87.99n ± 0%
Get/Btree/Descending/Order-82-8    87.48n ± 1%
Get/Btree/Descending/Order-84-8    86.79n ± 0%
Get/Btree/Descending/Order-86-8    86.32n ± 1%
Get/Btree/Descending/Order-88-8    85.88n ± 0%
Get/Btree/Descending/Order-90-8    85.27n ± 0%
Get/Btree/Descending/Order-92-8    84.93n ± 0%
Get/Btree/Descending/Order-94-8    85.02n ± 1%
Get/Btree/Descending/Order-96-8    84.51n ± 1%
Get/Btree/Descending/Order-98-8    84.38n ± 0%
Get/Btree/Descending/Order-100-8   84.70n ± 1%
Get/Btree/Descending/Order-102-8   84.14n ± 0%
Get/Btree/Descending/Order-104-8   84.24n ± 1%
Get/Btree/Descending/Order-106-8   83.85n ± 0%
Get/Btree/Descending/Order-108-8   84.15n ± 1%
Get/Btree/Descending/Order-110-8   84.14n ± 0%
Get/Btree/Descending/Order-112-8   84.06n ± 0%
Get/Btree/Descending/Order-114-8   84.06n ± 1%
Get/Btree/Descending/Order-116-8   84.40n ± 1%
Get/Btree/Descending/Order-118-8   84.57n ± 0%
Get/Btree/Descending/Order-120-8   84.79n ± 1%
Get/Btree/Descending/Order-122-8   84.66n ± 0%
