goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Forward/Order-4-4         	11921830	        90.20 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11099571	        94.58 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12494108	        89.94 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	13408717	        87.51 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12468577	        89.83 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14357600	        84.21 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	23828838	        84.73 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	13577874	        80.05 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14721903	        80.26 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14225798	        81.51 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	13746762	        79.94 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	12944001	        79.14 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14907682	        92.98 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	16033040	        74.98 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14197015	        72.48 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15567601	        73.23 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15522264	        72.82 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	17476008	        74.51 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15604034	        72.68 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14459659	        71.90 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15910730	        70.98 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	17072938	        70.96 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	17503598	        72.85 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	14260760	        76.31 ns/op	      54 B/op	       0 allocs/op
