goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Forward/Order-7-4         	 8633304	       136.3 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	 7306759	       153.7 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7225000	       151.0 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 8375742	       147.1 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7757524	       145.7 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7659721	       146.8 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7631570	       149.6 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7246242	       149.9 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7584534	       147.2 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	 7031754	       147.0 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7220667	       151.3 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7829803	       156.6 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 6966136	       154.9 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7133572	       149.4 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7157996	       153.9 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7874427	       160.2 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 6793534	       155.4 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	 7371037	       153.0 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	 7249480	       153.1 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	 7780011	       158.1 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	 7363498	       152.1 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	 7282273	       155.3 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	 7447820	       155.2 ns/op	      51 B/op	       0 allocs/op
