Done vet in 0s
Done test in 0s
goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-100-8        	 4186924	       420.5 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-101-8        	 4174483	       423.6 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-102-8        	 4115253	       422.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-103-8        	 4089198	       436.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-104-8        	 4136821	       427.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-105-8        	 4072556	       427.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-106-8        	 4092153	       434.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-107-8        	 4083014	       429.4 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-108-8        	 4033920	       429.0 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-109-8        	 4021078	       435.6 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-110-8        	 4010259	       432.3 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-111-8        	 4038435	       434.5 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-112-8        	 3971382	       436.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-113-8        	 3990814	       436.8 ns/op	      40 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-114-8        	 3967646	       437.9 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-115-8        	 3899937	       438.8 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-116-8        	 3959580	       440.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-117-8        	 3963421	       443.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-118-8        	 3929904	       443.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-119-8        	 3872988	       443.7 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-120-8        	 3792412	       447.0 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-121-8        	 3759524	       445.8 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-122-8        	 3872425	       449.4 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-123-8        	 3870568	       452.2 ns/op	      36 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-124-8        	 3861241	       453.4 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-125-8        	 3829258	       453.4 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-126-8        	 3829008	       454.1 ns/op	      34 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-127-8        	 3801700	       455.1 ns/op	      34 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-128-8        	 3740128	       461.7 ns/op	      35 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-8         	 9382791	       140.4 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-8         	13074324	       104.9 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-8         	15311216	        87.06 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-8         	17168474	        80.95 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-8         	18849387	        74.66 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-8         	20104821	        69.07 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-8         	21419118	        65.26 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-8         	22328666	        60.19 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-8        	23531767	        58.62 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-11-8        	24406456	        57.66 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-12-8        	22956612	        54.03 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-13-8        	26172166	        55.82 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-14-8        	26957782	        53.77 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-15-8        	27468358	        52.68 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-16-8        	25677614	        49.45 ns/op	      57 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-17-8        	27319236	        48.03 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-18-8        	26836780	        47.94 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-19-8        	27726477	        48.30 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-20-8        	28235952	        47.21 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-21-8        	29124138	        46.16 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-22-8        	29111157	        46.09 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-23-8        	30553633	        44.20 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-24-8        	29039247	        48.36 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-25-8        	31921798	        45.96 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-26-8        	32285665	        44.16 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-27-8        	32087282	        41.86 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-28-8        	33773650	        41.82 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-29-8        	33613462	        42.36 ns/op	      49 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-30-8        	32352542	        42.86 ns/op	      52 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-31-8        	33083556	        44.34 ns/op	      50 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-32-8        	33027794	        42.95 ns/op	      56 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-33-8        	33779017	        42.73 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-34-8        	33977592	        41.58 ns/op	      53 B/op	       0 allocs/op
