goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-14-4         	 2481369	       629.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2684343	       610.0 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2255461	       602.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2422336	       612.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2465820	       564.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2415340	       590.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2366562	       606.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2405222	       622.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2449936	       601.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2476944	       609.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2323378	       590.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2301206	       588.1 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2451848	       614.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2501314	       613.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3142106	       635.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2389332	       504.3 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2408962	       618.0 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2445240	       621.6 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2377999	       607.7 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2297329	       573.8 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2243380	       578.4 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2367837	       628.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2167972	       663.5 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 6581382	       174.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7726332	       168.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7464388	       163.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 6984280	       159.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7144992	       160.7 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 6789789	       162.3 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7291315	       164.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7212235	       157.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10007230	       135.7 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8548903	       136.2 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8859915	       130.7 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8548324	       132.2 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 7797292	       130.0 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8999089	       133.6 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8813391	       130.9 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 8777558	       133.2 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9472652	       114.0 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	10585328	       116.0 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9708338	       116.8 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9859587	       111.2 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9288286	       117.9 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9791445	       117.8 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	10149430	       114.3 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	 9938578	       118.3 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	 9746996	       115.4 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	 9431416	       116.6 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	 9546348	       117.9 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	10181283	       115.1 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	10424066	       116.8 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	 9713604	       115.0 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	11020083	       120.0 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	10599241	       112.7 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	10337725	        99.20 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	12551151	       100.2 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	11372815	       102.6 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	12228610	       100.7 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	10482382	       104.8 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	12299637	       103.4 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	12074377	       102.7 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	 9955705	       103.2 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	11729247	        95.38 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	17060754	        99.38 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	11098875	        93.50 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	11507340	       102.6 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	11043555	        94.73 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	12477435	        96.95 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	10986397	        96.02 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	11616998	        97.13 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	12300735	        90.50 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	16778386	        92.38 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	11251516	        94.19 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	12515334	        92.73 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	11768522	        97.57 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	12675288	        96.25 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	10823782	        94.55 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-8-4         	14653772	        90.44 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	11997638	        96.51 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	10723201	        97.69 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	10562880	        96.15 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	12609913	        96.76 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	10985638	        93.68 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	12499578	        94.24 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	13214113	        99.57 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-9-4         	12618428	        93.72 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	12695080	        92.79 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	12321044	        93.91 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	17499402	        96.60 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	12181100	        92.02 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	11253932	        95.37 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	12122630	        95.03 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	11245188	        96.60 ns/op	      51 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-10-4        	13264184	        95.92 ns/op	      51 B/op	       0 allocs/op
