goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
BenchmarkBtreeSet/Random/Order-13-4         	 2965106	       543.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2867167	       544.2 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2910328	       538.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2863779	       548.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2838726	       545.5 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 3006411	       559.8 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-13-4         	 2877276	       554.6 ns/op	      37 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2934630	       529.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2855020	       554.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2917999	       522.7 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2921232	       542.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2794592	       510.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2770342	       528.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2854562	       539.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-14-4         	 2832744	       380.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2957710	       557.4 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2738280	       517.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 3010050	       542.5 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2836686	       537.6 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2933908	       551.3 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2991895	       544.8 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2814642	       539.2 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-15-4         	 2867656	       528.9 ns/op	      38 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2929627	       540.3 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2916891	       511.8 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 4610617	       628.9 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 4174668	       608.1 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2810529	       534.4 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2988976	       531.7 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 3016437	       519.9 ns/op	      42 B/op	       0 allocs/op
BenchmarkBtreeSet/Random/Order-16-4         	 2821762	       515.6 ns/op	      41 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 7714696	       143.8 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8652202	       137.9 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8107323	       135.4 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8161989	       135.1 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8633884	       137.1 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 9456169	       135.6 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8182016	       136.0 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-2-4         	 8662159	       138.7 ns/op	      63 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 9858864	       106.3 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10676934	       104.4 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10614606	       105.7 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	11460504	       106.8 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10161259	       109.1 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	 9971202	       104.2 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	10938699	       104.0 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-3-4         	11470741	       107.1 ns/op	      58 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12514610	        89.56 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11072430	        91.24 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11822025	        91.89 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	13812801	        88.52 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11592154	        90.59 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11332051	        90.38 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	12253746	        87.32 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-4-4         	11603514	        93.03 ns/op	      55 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	13598632	        83.62 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14500738	        81.94 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	12516360	        80.29 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14526255	        80.46 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	12316596	        85.12 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	21734876	        86.60 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	14311692	        81.71 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-5-4         	13629694	        86.23 ns/op	      54 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14376949	        77.44 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	13722930	        77.00 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	12963951	        77.92 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14948318	        74.69 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14842606	        74.78 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15782409	        76.10 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	15897636	        77.28 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-6-4         	14799532	        77.18 ns/op	      53 B/op	       0 allocs/op
BenchmarkBtreeSet/Forward/Order-7-4         	16716133	        74.56 ns/op	      54 B/op	       0 allocs/op
