goos: freebsd
goarch: amd64
cpu: Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz
                                 │  binary.txt  │
                                 │    sec/op    │
Get/Btree/Ascending/Order-124-8    60.41n ±  1%
Get/Btree/Ascending/Order-126-8    60.56n ±  1%
Get/Btree/Ascending/Order-128-8    60.99n ±  2%
Get/Btree/Ascending/Order-130-8    60.48n ±  2%
Get/Btree/Ascending/Order-132-8    60.18n ±  1%
Get/Btree/Ascending/Order-134-8    60.34n ±  1%
Get/Btree/Ascending/Order-136-8    60.04n ±  1%
Get/Btree/Ascending/Order-138-8    60.20n ±  1%
Get/Btree/Ascending/Order-140-8    59.94n ±  2%
Get/Btree/Ascending/Order-142-8    59.71n ±  1%
Get/Btree/Ascending/Order-144-8    59.45n ±  1%
Get/Btree/Ascending/Order-146-8    59.61n ±  1%
Get/Btree/Ascending/Order-148-8    59.35n ±  1%
Get/Btree/Ascending/Order-150-8    59.57n ±  2%
Get/Btree/Ascending/Order-152-8    59.25n ±  2%
Get/Btree/Ascending/Order-154-8    59.24n ±  1%
Get/Btree/Ascending/Order-156-8    59.46n ±  1%
Get/Btree/Ascending/Order-158-8    59.47n ±  1%
Get/Btree/Ascending/Order-160-8    59.21n ±  1%
Get/Btree/Ascending/Order-162-8    59.28n ±  1%
Get/Btree/Ascending/Order-164-8    59.44n ±  1%
Get/Btree/Ascending/Order-166-8    59.06n ±  1%
Get/Btree/Ascending/Order-168-8    59.29n ±  1%
Get/Btree/Ascending/Order-170-8    59.39n ±  1%
Get/Btree/Ascending/Order-172-8    59.51n ±  2%
Get/Btree/Ascending/Order-174-8    59.75n ±  1%
Get/Btree/Ascending/Order-176-8    59.73n ±  2%
Get/Btree/Ascending/Order-178-8    59.78n ±  1%
Get/Btree/Ascending/Order-180-8    60.61n ±  1%
Get/Btree/Ascending/Order-182-8    59.92n ±  1%
Get/Btree/Ascending/Order-184-8    59.95n ±  2%
Get/Btree/Ascending/Order-186-8    59.96n ±  1%
Get/Btree/Ascending/Order-188-8    59.77n ±  2%
Get/Btree/Ascending/Order-190-8    60.00n ±  2%
Get/Btree/Ascending/Order-192-8    59.99n ±  1%
Get/Btree/Ascending/Order-194-8    60.25n ±  2%
Get/Btree/Ascending/Order-196-8    59.99n ±  1%
Get/Btree/Ascending/Order-198-8    60.23n ±  2%
Get/Btree/Ascending/Order-200-8    60.05n ±  2%
Get/Btree/Ascending/Order-202-8    60.02n ±  1%
Get/Btree/Ascending/Order-204-8    59.49n ±  1%
Get/Btree/Ascending/Order-206-8    59.78n ±  1%
Get/Btree/Ascending/Order-208-8    59.41n ±  1%
Get/Btree/Ascending/Order-210-8    59.73n ±  2%
Get/Btree/Ascending/Order-212-8    59.66n ±  1%
Get/Btree/Ascending/Order-214-8    60.16n ±  2%
Get/Btree/Ascending/Order-216-8    59.88n ±  2%
Get/Btree/Ascending/Order-218-8    59.89n ±  2%
Get/Btree/Ascending/Order-220-8    59.92n ±  2%
Get/Btree/Ascending/Order-222-8    60.14n ±  2%
Get/Btree/Ascending/Order-224-8    59.59n ±  2%
Get/Btree/Ascending/Order-226-8    59.69n ±  1%
Get/Btree/Ascending/Order-228-8    60.22n ±  2%
Get/Btree/Ascending/Order-230-8    60.12n ±  2%
Get/Btree/Ascending/Order-232-8    60.08n ±  2%
Get/Btree/Ascending/Order-234-8    60.08n ±  2%
Get/Btree/Ascending/Order-236-8    59.89n ±  2%
Get/Btree/Ascending/Order-238-8    59.99n ±  2%
Get/Btree/Ascending/Order-240-8    60.17n ±  2%
Get/Btree/Ascending/Order-242-8    60.12n ±  1%
Get/Btree/Ascending/Order-244-8    60.11n ±  1%
Get/Btree/Ascending/Order-246-8    60.19n ±  2%
Get/Btree/Ascending/Order-248-8    60.12n ±  2%
Get/Btree/Ascending/Order-250-8    60.49n ±  1%
Get/Btree/Ascending/Order-252-8    60.06n ±  1%
Get/Btree/Ascending/Order-254-8    60.66n ±  2%
Get/Btree/Ascending/Order-256-8    60.51n ±  2%
Get/Btree/Descending/Order-2-8     79.10n ±  1%
Get/Btree/Descending/Order-4-8     69.09n ±  0%
Get/Btree/Descending/Order-6-8     62.40n ±  1%
Get/Btree/Descending/Order-8-8     61.90n ±  1%
Get/Btree/Descending/Order-10-8    61.15n ±  2%
Get/Btree/Descending/Order-12-8    63.35n ±  2%
Get/Btree/Descending/Order-14-8    61.52n ±  2%
Get/Btree/Descending/Order-16-8    62.84n ±  3%
Get/Btree/Descending/Order-18-8    61.91n ±  3%
Get/Btree/Descending/Order-20-8    61.66n ±  3%
Get/Btree/Descending/Order-22-8    63.40n ±  2%
Get/Btree/Descending/Order-24-8    64.48n ±  2%
Get/Btree/Descending/Order-26-8    63.11n ±  2%
Get/Btree/Descending/Order-28-8    63.08n ±  1%
Get/Btree/Descending/Order-30-8    64.25n ±  1%
Get/Btree/Descending/Order-32-8    64.95n ±  1%
Get/Btree/Descending/Order-34-8    66.19n ±  1%
Get/Btree/Descending/Order-36-8    63.84n ±  2%
Get/Btree/Descending/Order-38-8    63.86n ±  1%
Get/Btree/Descending/Order-40-8    62.20n ±  0%
Get/Btree/Descending/Order-42-8    61.57n ±  1%
Get/Btree/Descending/Order-44-8    63.32n ±  1%
Get/Btree/Descending/Order-46-8    63.09n ±  1%
Get/Btree/Descending/Order-48-8    63.44n ±  1%
Get/Btree/Descending/Order-50-8    62.93n ±  0%
Get/Btree/Descending/Order-52-8    62.61n ±  0%
Get/Btree/Descending/Order-54-8    63.37n ±  1%
Get/Btree/Descending/Order-56-8    63.31n ±  0%
Get/Btree/Descending/Order-58-8    62.90n ±  1%
Get/Btree/Descending/Order-60-8    63.37n ±  0%
Get/Btree/Descending/Order-62-8    63.88n ±  1%
Get/Btree/Descending/Order-64-8    62.92n ±  0%
Get/Btree/Descending/Order-66-8    63.47n ±  0%
Get/Btree/Descending/Order-68-8    63.16n ±  0%
Get/Btree/Descending/Order-70-8    63.16n ±  0%
Get/Btree/Descending/Order-72-8    62.32n ±  0%
Get/Btree/Descending/Order-74-8    62.23n ±  1%
Get/Btree/Descending/Order-76-8    62.32n ±  0%
Get/Btree/Descending/Order-78-8    61.80n ±  0%
Get/Btree/Descending/Order-80-8    60.52n ±  0%
Get/Btree/Descending/Order-82-8    60.20n ±  0%
Get/Btree/Descending/Order-84-8    59.85n ±  0%
Get/Btree/Descending/Order-86-8    59.87n ±  0%
Get/Btree/Descending/Order-88-8    60.06n ±  0%
Get/Btree/Descending/Order-90-8    60.10n ±  0%
Get/Btree/Descending/Order-92-8    60.08n ±  0%
Get/Btree/Descending/Order-94-8    59.92n ±  0%
Get/Btree/Descending/Order-96-8    60.02n ±  0%
Get/Btree/Descending/Order-98-8    59.85n ±  1%
Get/Btree/Descending/Order-100-8   60.06n ±  2%
Get/Btree/Descending/Order-102-8   60.18n ±  1%
Get/Btree/Descending/Order-104-8   59.93n ±  0%
Get/Btree/Descending/Order-106-8   59.92n ±  0%
Get/Btree/Descending/Order-108-8   59.87n ±  1%
Get/Btree/Descending/Order-110-8   59.84n ±  0%
Get/Btree/Descending/Order-112-8   59.83n ±  0%
Get/Btree/Descending/Order-114-8   59.85n ±  0%
Get/Btree/Descending/Order-116-8   59.96n ±  0%
Get/Btree/Descending/Order-118-8   60.17n ±  1%
Get/Btree/Descending/Order-120-8   60.54n ±  1%
Get/Btree/Descending/Order-122-8   60.19n ±  2%
Get/Btree/Descending/Order-124-8   60.48n ±  0%
